Train MSE,Test MSE,Train R2,Test R2
0.1178775919018308,0.23861364054150883,0.8746816937361979,0.843334924482983
0.12862277416041942,0.206161957674305,0.8739752234716636,0.7474918742556691
0.13087999296379357,0.21447036646412196,0.8738845606835954,0.6763450497393586
0.13004934449173372,0.2264684638945669,0.8685659869871933,0.788952516975548
0.1287485777232669,0.17638142671108809,0.8723275114775969,0.8088428654930819
0.1281368263005345,0.15380131062461508,0.8762048548559196,0.7695357161045594
0.11899784938950937,0.21548333944214684,0.8827496782851724,0.7485440638648047
0.12229705061962755,0.1962286236021213,0.8796060326778495,0.7632861622601239
0.11986338937181659,0.2758283620196592,0.871277190703876,0.8266180234905423
0.12664348960347774,0.21043910535387853,0.8739706829898706,0.7796793097302447
