Train MSE,Test MSE,Train R2,Test R2
0.14215454165609626,0.31335280436845897,0.8488723250905468,0.7942638960268753
0.14158342294896553,0.19521988480971503,0.8612763614085454,0.76089377605154
0.14150749950338445,0.19602654008487316,0.8636439377608143,0.7041784320746767
0.14052389744043575,0.2022382389705543,0.8579799088032272,0.8115328263722237
0.14419772801496136,0.15375295240022116,0.8570074862145856,0.833366957333058
0.1510558708703143,0.11016359550764177,0.8540623800421221,0.83492485176552
0.13937977359994996,0.2201465182560649,0.8626670702119876,0.7431024181345351
0.14789052635064312,0.14615104539815071,0.854410820976435,0.8236955740155478
0.13926986814004563,0.1953460073093836,0.8504363277958278,0.8772081427648186
0.1427725096374359,0.18548947993910678,0.8579198825477243,0.8058004942130936
