Train MSE,Test MSE,Train R2,Test R2
0.004355078386905823,0.14628804508509644,0.9953700186923766,0.90395256709347
0.0031283059104047725,0.10548374350228343,0.9969348814325888,0.8708030197776054
0.004259580706342747,0.10659405365616162,0.995895485017082,0.83914004669761
0.00427971552852296,0.15139112466011023,0.9956747172493227,0.8589175938128318
0.002185511787296119,0.12291806442893169,0.997832754866008,0.8667849250711712
0.004323117068284376,0.09253032194409863,0.9958233638182368,0.8613475119369476
0.004162532134637549,0.1319447514090593,0.9958985961978437,0.8460285093521192
0.004154193256838104,0.1617691960646394,0.9959104507861828,0.8048551402663904
0.0029960557828664696,0.19320246953555872,0.9967824978152241,0.8785555416081687
0.0044750860707558114,0.09809453800943976,0.9955466163888506,0.8972992387057105
